2021.02.19;6;299.00
2021.02.18;19;163.00
2021.02.18;6;289.00
2021.02.16;11;500.00
2021.02.16;6;299.00
2021.02.15;6;325.00
2021.02.13;1;1948.80
2021.02.12;6;1290.00
2021.02.12;6;299.00
2021.02.11;6;410.00
2021.02.10;3;10490.41
2021.02.10;11;500.00
2021.02.10;6;289.00
2021.02.09;3;975.21
2021.02.09;3;1180.01
2021.02.09;6;324.00
2021.02.08;6;299.00
2021.02.06;1;3864.76
2021.02.05;6;289.00
2021.02.05;17;9600.00
2021.02.05;21;142.00
2021.02.04;26;4015.00
2021.02.03;11;500.00
2021.02.03;6;289.00
2021.02.02;2;300.00
2021.02.02;6;299.00
2021.02.01;26;3764.00
2021.02.01;6;324.00
2021.01.31;26;11958.00
2021.01.31;26;2943.00
2021.01.30;11;215.00
2021.01.29;6;404.00
2021.01.29;6;510.00
2021.01.29;6;289.00
2021.01.29;6;510.00
2021.01.28;1;1884.92
2021.01.28;4;2560.81
2021.01.27;6;289.00
2021.01.27;11;500.00
2021.01.26;6;314.00
2021.01.26;12;505.00
2021.01.25;9;223.00
2021.01.25;6;410.00
2021.01.24;1;2447.12
2021.01.23;19;320.00
2021.01.22;6;860.00
2021.01.22;6;410.00
2021.01.22;6;289.00
2021.01.21;6;289.00
2021.01.20;6;289.00
2021.01.20;1;693.00
2021.01.20;1;1665.08
2021.01.20;1;97.90
2021.01.19;3;5144.98
2021.01.19;11;500.00
2021.01.18;6;410.00
2021.01.18;21;79.00
2021.01.15;6;855.00
2021.01.15;6;1663.00
2021.01.15;6;365.00
2021.01.15;6;289.00
2021.01.14;1;1287.40
2021.01.14;6;314.00
2021.01.13;9;87.00
2021.01.13;6;289.00
2021.01.12;1;49.00
2021.01.12;6;314.00
2021.01.12;2;200.00
2021.01.12;11;500.00
2021.01.11;6;410.00
2021.01.10;6;1260.00
2021.01.10;9;63.00
2021.01.10;1;292.60
2021.01.10;24;14924.89
2021.01.10;6;259.98
2021.01.10;1;142.95
2021.01.08;17;9600.00
2021.01.07;1;1395.77
2021.01.07;1;24.99
2021.01.06;22;9396.04
2021.01.06;22;4200.00
2021.01.06;1;285.00
2021.01.06;1;2361.93
2021.01.05;2;300.00
2021.01.04;26;9990.00
2021.01.04;1;60.00
2021.01.04;1;1159.69
2021.01.04;7;6000.00
2021.01.04;1;1362.73
2021.01.03;23;2310.00
2021.01.03;6;1998.00
2021.01.03;6;389.97
